Execution Round,Start try function,Sandbox setup start,Sandbox setup end,Sandbox validation start,Sandbox validation end,Directory and mount preparation start,Directory and mount preparation end,Overlay mount operations start,Overlay mount operations end,Prepare scripts for mounting and execution end,Unshare and execute sandbox start,Unshare and execute sandbox end,Cleanup start,Cleanup end,Script end
1,.840,.843,.847,.851,.855,.858,.863,.866,.871,.875,.879,.883,.886,.890,.894
2,.876,.880,.884,.888,.893,.897,.901,.905,.909,.913,.917,.921,.925,.929,.933
3,.835,.839,.843,.847,.850,.854,.858,.862,.866,.870,.874,.878,.881,.885,.889
4,.830,.834,.838,.842,.846,.850,.854,.859,.863,.867,.871,.875,.879,.883,.888
5,.833,.837,.841,.845,.849,.854,.858,.861,.865,.868,.872,.876,.880,.884,.887
6,.828,.831,.835,.839,.844,.848,.851,.856,.860,.863,.867,.871,.875,.879,.884
7,.817,.820,.824,.828,.832,.837,.840,.844,.848,.852,.857,.860,.864,.867,.871
8,.830,.834,.838,.842,.846,.850,.854,.858,.861,.865,.869,.873,.877,.881,.885
9,.804,.808,.811,.815,.819,.822,.827,.831,.835,.839,.843,.847,.851,.855,.859
10,.821,.825,.829,.833,.837,.841,.845,.849,.853,.857,.861,.865,.869,.872,.876
11,.819,.823,.827,.831,.835,.839,.842,.846,.851,.855,.859,.863,.867,.871,.874
12,.825,.829,.832,.837,.840,.845,.848,.852,.857,.860,.865,.868,.873,.877,.880
13,.825,.829,.832,.836,.840,.844,.848,.852,.856,.860,.864,.868,.872,.876,.879
14,.831,.834,.839,.843,.847,.850,.855,.859,.863,.867,.871,.875,.879,.883,.887
15,.833,.836,.840,.844,.848,.852,.855,.859,.863,.867,.871,.875,.879,.883,.887
16,.835,.839,.842,.846,.850,.854,.858,.862,.865,.869,.873,.876,.881,.884,.888
17,.834,.838,.842,.847,.851,.855,.859,.863,.867,.871,.875,.879,.882,.886,.890
18,.836,.840,.844,.848,.852,.856,.860,.864,.868,.871,.876,.880,.884,.887,.892
19,.835,.838,.842,.846,.851,.854,.859,.862,.866,.871,.875,.879,.883,.887,.891
20,.831,.836,.840,.844,.848,.853,.857,.861,.864,.869,.872,.877,.881,.885,.889
21,.828,.831,.835,.838,.842,.846,.851,.855,.859,.863,.867,.870,.874,.878,.882
22,.822,.827,.831,.835,.838,.843,.847,.851,.855,.859,.863,.867,.871,.875,.879
23,.841,.845,.849,.853,.857,.861,.864,.868,.872,.877,.881,.885,.889,.893,.897
24,.824,.828,.832,.836,.840,.843,.848,.852,.856,.860,.863,.867,.871,.875,.879
25,.811,.815,.819,.823,.827,.831,.835,.839,.843,.847,.851,.855,.859,.863,.867
26,.828,.831,.835,.839,.843,.847,.852,.856,.860,.864,.868,.872,.875,.880,.884
27,.829,.833,.836,.841,.845,.849,.853,.857,.861,.865,.868,.872,.876,.880,.884
28,.825,.828,.833,.837,.841,.845,.850,.853,.857,.862,.866,.870,.874,.878,.881
29,.825,.829,.833,.837,.841,.845,.849,.853,.857,.861,.864,.869,.873,.876,.880
30,.838,.841,.845,.848,.853,.856,.860,.864,.868,.872,.876,.879,.883,.886,.890
31,.836,.840,.844,.848,.852,.856,.860,.864,.868,.872,.876,.880,.884,.887,.892
32,.836,.839,.843,.847,.851,.855,.861,.864,.868,.872,.876,.880,.884,.888,.892
33,.814,.817,.821,.825,.828,.833,.837,.841,.845,.849,.853,.857,.861,.865,.869
34,.831,.835,.839,.843,.847,.851,.855,.859,.863,.867,.871,.875,.879,.883,.887
35,.837,.841,.845,.849,.853,.857,.861,.865,.869,.873,.876,.880,.884,.888,.892
36,.830,.834,.838,.842,.846,.850,.854,.858,.862,.865,.869,.873,.877,.881,.884
37,.825,.828,.832,.836,.840,.844,.849,.852,.856,.860,.864,.870,.874,.877,.882
38,.826,.830,.834,.838,.842,.846,.849,.854,.857,.861,.865,.869,.873,.877,.881
39,.826,.829,.833,.837,.841,.845,.849,.853,.857,.861,.865,.869,.873,.876,.880
40,.816,.820,.824,.828,.832,.836,.840,.844,.848,.852,.856,.860,.864,.868,.872
41,.832,.835,.839,.843,.847,.850,.854,.858,.862,.866,.870,.874,.878,.882,.885
42,.827,.831,.835,.839,.843,.847,.851,.855,.859,.863,.867,.871,.874,.878,.882
43,.825,.829,.833,.837,.841,.845,.849,.853,.857,.861,.865,.869,.874,.878,.882
44,.837,.842,.846,.850,.854,.858,.862,.866,.871,.875,.879,.883,.887,.891,.894
45,.839,.843,.847,.851,.855,.859,.863,.868,.872,.876,.880,.884,.888,.892,.896
46,.837,.841,.845,.849,.853,.857,.860,.865,.869,.872,.877,.881,.885,.889,.893
47,.828,.832,.836,.841,.845,.849,.853,.857,.861,.865,.869,.873,.877,.881,.885
48,.826,.830,.834,.838,.843,.847,.851,.856,.860,.864,.867,.871,.875,.879,.884
49,.834,.838,.842,.846,.850,.854,.858,.862,.866,.870,.874,.878,.882,.886,.890
50,.837,.841,.845,.849,.853,.857,.861,.865,.869,.873,.876,.880,.884,.888,.892
51,.828,.832,.836,.840,.844,.848,.852,.855,.859,.863,.868,.871,.876,.880,.884
52,.831,.835,.840,.844,.848,.853,.857,.861,.865,.869,.873,.877,.881,.885,.888
53,.828,.832,.836,.840,.844,.848,.852,.856,.860,.864,.868,.872,.876,.880,.883
54,.821,.825,.829,.833,.837,.841,.845,.849,.853,.857,.861,.865,.869,.872,.876
55,.839,.843,.847,.851,.855,.860,.864,.868,.872,.876,.880,.884,.888,.892,.896
56,.831,.835,.839,.842,.846,.850,.854,.858,.862,.866,.870,.874,.878,.882,.886
57,.836,.840,.843,.847,.851,.855,.859,.862,.867,.872,.876,.879,.884,.888,.892
58,.828,.832,.836,.840,.844,.847,.852,.856,.860,.864,.868,.872,.876,.880,.884
59,.838,.842,.846,.850,.854,.858,.862,.866,.870,.874,.878,.882,.886,.890,.894
60,.806,.810,.813,.817,.821,.825,.829,.833,.837,.841,.845,.849,.853,.857,.861
61,.840,.844,.847,.851,.854,.859,.863,.867,.871,.874,.878,.882,.886,.890,.894
62,.833,.837,.841,.845,.849,.852,.856,.861,.865,.869,.873,.876,.880,.884,.888
63,.818,.822,.826,.830,.834,.839,.842,.847,.851,.855,.859,.863,.866,.871,.875
64,.828,.832,.836,.840,.844,.848,.852,.856,.860,.864,.868,.872,.875,.879,.883
65,.827,.830,.835,.838,.843,.846,.850,.855,.859,.862,.866,.871,.875,.879,.883
66,.829,.833,.836,.841,.844,.849,.853,.857,.861,.865,.869,.873,.878,.882,.885
67,.832,.836,.841,.844,.848,.852,.857,.860,.864,.868,.871,.875,.879,.883,.887
68,.831,.835,.839,.843,.847,.851,.855,.859,.863,.867,.871,.875,.879,.883,.887
69,.830,.834,.838,.842,.846,.851,.855,.859,.863,.867,.871,.875,.879,.883,.887
70,.831,.835,.839,.843,.847,.851,.855,.859,.863,.867,.871,.875,.879,.883,.887
71,.814,.819,.823,.827,.830,.834,.838,.842,.846,.850,.854,.858,.862,.866,.870
72,.835,.838,.842,.846,.850,.854,.858,.862,.866,.869,.873,.877,.880,.884,.888
73,.839,.843,.847,.851,.855,.859,.863,.868,.871,.875,.879,.883,.887,.890,.894
74,.834,.838,.842,.846,.850,.854,.858,.861,.865,.869,.873,.877,.881,.885,.889
75,.831,.836,.839,.843,.847,.850,.855,.859,.863,.868,.872,.876,.880,.884,.887
76,.837,.841,.844,.848,.851,.855,.860,.864,.868,.872,.876,.880,.884,.888,.891
